AppID,Genres
1694450,Simulation
1343220,Casual
1343220,Indie
1672700,Action
1672700,Indie
1860120,Adventure
1860120,Casual
1860120,Free to Play
1338020,Action
1338020,Indie
1213420,Adventure
1213420,Casual
1213420,Indie
1213420,Simulation
1213420,Strategy
1385820,Action
1385820,Adventure
1385820,Indie
848460,Action
848460,Casual
848460,Indie
735650,Indie
735650,Strategy
1048100,Action
1048100,Adventure
1048100,Casual
1048100,Indie
1048100,Massively Multiplayer
1048100,RPG
1048100,Simulation
345700,Adventure
345700,Casual
345700,Indie
1873830,Action
1873830,Casual
1873830,Indie
1873830,Strategy
65600,RPG
674250,Action
674250,Indie
674250,RPG
674250,Early Access
439250,Adventure
439250,Indie
1788650,Action
1788650,Adventure
1788650,Casual
1788650,Indie
1239710,Simulation
1239710,Early Access
1275060,Casual
1275060,Indie
1275060,Strategy
940350,Adventure
940350,Casual
940350,Indie
940350,Simulation
868060,Action
868060,Adventure
868060,Indie
868060,RPG
1284550,Action
1284550,Casual
1284550,Indie
924670,Adventure
924670,Casual
924670,Indie
924670,Racing
924670,Simulation
924670,Sports
598590,Action
598590,Adventure
598590,Indie
454330,Adventure
454330,Indie
1723050,Action
1723050,Simulation
763230,Casual
763230,Free to Play
763230,Indie
959710,Indie
1140060,Action
1140060,Adventure
1140060,Indie
1140060,RPG
1140060,Strategy
1644920,Adventure
1644920,Casual
1644920,Indie
1644920,RPG
957070,Casual
957070,Indie
957070,Simulation
957070,Sports
957070,Strategy
957070,Early Access
1270780,Action
1270780,Casual
1270780,Indie
1270780,Simulation
1270780,Strategy
1702210,Utilities
1702210,Web Publishing
1702210,Early Access
1302270,Simulation
974930,RPG
1017480,Casual
1017480,Free to Play
1017480,Indie
1017480,Strategy
676030,Action
676030,Adventure
676030,Indie
676030,Simulation
676030,Strategy
1728410,Action
1728410,Indie
1728410,RPG
1165280,Casual
1165280,Indie
1095120,Adventure
1095120,Indie
818390,Adventure
818390,Indie
1245470,Action
1245470,Casual
1245470,Indie
1245470,Simulation
1245470,Sports
839770,RPG
839770,Strategy
1874660,Casual
1874660,Indie
1874660,Simulation
1874660,Early Access
562640,Adventure
562640,Casual
562640,Indie
562640,RPG
360840,Adventure
360840,Indie
1007890,Action
1007890,Indie
1030840,Action
1030840,Adventure
1234450,Action
1234450,Adventure
1234450,Casual
1234450,Indie
890130,Indie
890130,Strategy
1093880,Animation & Modeling
1093880,Design & Illustration
1093880,Utilities
1896980,Casual
368730,Action
368730,Adventure
368730,Casual
368730,Indie
1041300,Adventure
572620,Casual
572620,Indie
572620,Simulation
1581500,Action
1581500,Casual
1581500,Indie
1581500,Early Access
318260,Casual
318260,Indie
318260,Simulation
821880,Indie
821880,Simulation
821880,Strategy
886360,Casual
1408480,Action
1408480,Adventure
1408480,Indie
696760,Simulation
780210,Indie
780210,Simulation
1713640,Action
1713640,Casual
1713640,Free to Play
451600,Action
451600,Adventure
451600,Indie
1109350,Casual
1109350,Indie
1109350,RPG
1109350,Strategy
1109350,Early Access
781240,Action
929570,Adventure
929570,Casual
929570,Indie
929570,Simulation
841830,Adventure
841830,Casual
841830,Indie
1165460,Adventure
1165460,Casual
1165460,Indie
1165460,Early Access
485980,Indie
485980,Strategy
679400,Free to Play
679400,Indie
679400,Strategy
